Website,URL,Google Rank,In-Degree,Out-Degree,Total Degree,Website Name Length,URL Length,Contains Crochet,Contains Yarn,Contains Pattern,PageRank,Predicted PageRank,Absolute Error
Crochet.com,https://www.crochet.com,1,0,0,0,11,23,1,0,0,0.0340136276850893,0.03174964159704811,0.002263986088041195
LoveCrafts,https://www.lovecrafts.com,2,2,0,2,10,26,0,0,0,0.0581064777241886,0.07384961634114016,0.015743138616951563
Easy Crochet,https://easycrochet.com,3,0,0,0,12,23,1,0,0,0.0340136276850893,0.032394379017392505,0.0016192486676967974
Hobbii,https://hobbii.com,4,0,1,1,6,18,0,0,0,0.0340136276850893,0.0325790774321058,0.001434550252983502
Premier Yarns,https://www.premieryarns.com,5,1,0,1,13,28,0,1,0,0.043650767700729,0.052634320534258795,0.008983552833529793
Yarnspirations,https://www.yarnspirations.com,6,0,0,0,14,30,0,1,0,0.0340136276850893,0.02742706471198987,0.0065865629730994316
Lucy Kate Crochet,https://lucykatecrochet.com,7,0,0,0,17,27,1,0,0,0.0340136276850893,0.03257360808242628,0.0014400196026630244
Hayhay Crochet,https://hayhaycrochet.com,8,0,0,0,14,25,1,0,0,0.0340136276850893,0.03315948472434273,0.0008541429607465748
CrochetObjet,https://crochetobjet.com,9,0,1,1,12,24,1,0,0,0.0340136276850893,0.034189357935337346,0.00017573025024804345
Ravelry,https://www.ravelry.com,10,4,0,4,7,23,0,0,0,0.1159293178180271,0.08064005291795694,0.03528926490007016
AllFreeCrochet,https://www.allfreecrochet.com,11,0,0,0,14,30,1,0,0,0.0340136276850893,0.032266229418054675,0.0017473982670346278
Lion Brand Yarn,https://www.lionbrand.com,12,0,0,0,15,25,0,1,0,0.0340136276850893,0.031198126794505905,0.0028155008905833973
Evelyn And Peter Crochet,https://www.eandpcrochet.com,13,0,0,0,24,28,1,0,0,0.0340136276850893,0.03417206812015271,0.00015844043506340472
The Weaving Witch,https://www.theweavingwitch.com,14,0,3,3,17,31,0,0,0,0.0340136276850893,0.03313408905971589,0.0008795386253734119
Mezzacraft,https://mezzacraft.com,15,0,0,0,10,22,0,0,0,0.0340136276850893,0.03373099193819464,0.00028263574689466053
Mary Maxim,https://www.marymaxim.com,16,0,0,0,10,25,0,0,0,0.0340136276850893,0.03305155663971712,0.0009620710453721801
MJ's Off The Hook Designs,https://www.mjsoffthehookdesigns.com,17,0,0,0,25,36,0,0,0,0.0340136276850893,0.03017287788953061,0.0038407497955586928
Make & Do Crew,https://makeanddocrew.com,18,0,0,0,14,25,0,0,0,0.0340136276850893,0.03384223002824069,0.0001713976568486139
Crochet Society,https://crochetsociety.co.uk,19,0,0,0,15,28,1,0,0,0.0340136276850893,0.034679363614621615,0.0006657359295323129
Sigoni Macaroni,https://www.sigonimacaroni.com,20,0,0,0,15,30,0,0,0,0.0340136276850893,0.032851802845474,0.0011618248396152997
Jo To The World Creations,https://jototheworld.com,21,0,0,0,25,24,0,0,0,0.0340136276850893,0.03782324808252368,0.0038096203974343767
A Crocheted Simplicity,https://www.acrochetedsimplicity.com,22,0,2,2,22,36,1,0,0,0.0340136276850893,0.03553773710880722,0.0015241094237179176
VivCrochets,https://vivcrochets.com,23,0,0,0,11,23,1,0,0,0.0340136276850893,0.037179312354152984,0.0031656846690636814
Crochetpedia,https://crochetpedia.com,24,0,0,0,12,24,1,0,0,0.0340136276850893,0.03714304628833823,0.003129418603248925
Craft Passion,https://www.craftpassion.com,25,0,0,0,13,28,0,0,0,0.0340136276850893,0.03443735680517405,0.0004237291200847454
Creative Crochet Corner,https://www.creativecrochetcorner.com,26,0,0,0,23,37,1,0,0,0.0340136276850893,0.03432054402788262,0.00030691634279331886
